2025-05-18 11:17:19,744 INFO    MainThread:11827 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_setup.py:_flush():70] Configure stats pid to 11827
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_setup.py:_flush():70] Loading settings from /home/bmn/.config/wandb/settings
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_setup.py:_flush():70] Loading settings from /home/bmn/projects/ml_system/project/wandb/settings
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/bmn/projects/ml_system/project/wandb/offline-run-20250518_111719-ki01kjno/logs/debug.log
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/bmn/projects/ml_system/project/wandb/offline-run-20250518_111719-ki01kjno/logs/debug-internal.log
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_init.py:init():852] calling init triggers
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'batch_size': 256, 'epochs': 2, 'architecture': 'resnet50', 'remove_fc': False, '_wandb': {}}
2025-05-18 11:17:19,745 INFO    MainThread:11827 [wandb_init.py:init():893] starting backend
2025-05-18 11:17:19,950 INFO    MainThread:11827 [wandb_init.py:init():897] sending inform_init request
2025-05-18 11:17:19,952 INFO    MainThread:11827 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-18 11:17:19,952 INFO    MainThread:11827 [wandb_init.py:init():907] backend started and connected
2025-05-18 11:17:19,953 INFO    MainThread:11827 [wandb_init.py:init():1005] updated telemetry
2025-05-18 11:17:19,955 INFO    MainThread:11827 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-18 11:17:20,101 INFO    MainThread:11827 [wandb_init.py:init():1104] starting run threads in backend
2025-05-18 11:17:20,194 INFO    MainThread:11827 [wandb_run.py:_console_start():2573] atexit reg
2025-05-18 11:17:20,194 INFO    MainThread:11827 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-18 11:17:20,194 INFO    MainThread:11827 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-18 11:17:20,194 INFO    MainThread:11827 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-18 11:17:20,195 INFO    MainThread:11827 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-18 11:17:31,151 INFO    MsgRouterThr:11827 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
